Protein1,Protein2,PartialCor
MIG6,PKCDELTAPS664,-0.07539
MIG6,PAI1,-0.16223
MRE11,PCADHERIN,-0.05731
MRE11,P27PT157,-0.12267
MRE11,PCNA,0.06333
MRE11,PRAS40PT246,-0.0409
MRE11,SMAD4,0.03241
MRE11,SRCPY416,-0.05798
MRE11,STATHMIN,-0.13675
MRE11,TUBERIN,0.10915
MRE11,MTORPS2448,0.02628
MTOR,PEA15,0.11438
MTOR,S6,-0.16333
MTOR,TUBERIN,-0.28266
MTOR,YAP,0.09485
MTOR,MTORPS2448,-0.23586
NCADHERIN,NF2,-0.11356
NCADHERIN,RAD50,-0.16264
NCADHERIN,RAD51,-0.14145
NCADHERIN,S6,0.08242
NCADHERIN,STATHMIN,-0.09992
NFKBP65PS536,PAXILLIN,-0.12632
NFKBP65PS536,SRCPY416,-0.12988
NFKBP65PS536,STAT5ALPHA,-0.20829
NF2,NOTCH1,0.11277
NF2,SMAD3,-0.16501
NF2,YB1,-0.14504
NOTCH1,P27PT157,-0.12576
NOTCH1,P70S6KPT389,-0.18741
NOTCH1,STATHMIN,-0.1921
NOTCH1,TUBERIN,-0.01792
NOTCH1,MTORPS2448,0.10081
PCADHERIN,PKCDELTAPS664,0.0748
PCADHERIN,SHCPY317,-0.13748
PCADHERIN,SMAD4,-0.08425
PCADHERIN,SRC,-0.13191
PCADHERIN,YB1PS102,-0.0993
PCADHERIN,ASNS,-0.13744
P27,PCNA,-0.07781
P27,EGFR,0.05775
P27PT157,PCNA,-0.02573
P27PT157,PKCDELTAPS664,-0.06265
P27PT157,PRAS40PT246,-0.04777
P27PT157,SMAD4,0.00513
P27PT157,YB1,-0.03887
P38MAPK,P38PT180Y182,-0.13177
P38MAPK,PDK1PS241,-0.219
P38MAPK,RAD51,0.06253
P38PT180Y182,PAXILLIN,0.16877
P38PT180Y182,YAPPS127,-0.25602
P38PT180Y182,JNKPT183Y185,-0.21362
P53,PKCDELTAPS664,-0.16206
P53,SHCPY317,-0.03481
P53,SRCPY527,0.13133
P53,ASNS,-0.18134
P70S6K,PR,0.15924
P70S6K,SYK,-0.07222
P70S6KPT389,PRAS40PT246,-0.16714
P70S6KPT389,S6PS235S236,-0.16788
P70S6KPT389,MTORPS2448,-0.18085
P90RSKPT359S363,PEA15,0.07541
P90RSKPT359S363,PKCDELTAPS664,-0.05943
P90RSKPT359S363,RBPS807S811,-0.14809
P90RSKPT359S363,SHCPY317,-0.16094
P90RSKPT359S363,YB1PS102,-0.20324
P90RSKPT359S363,EGFR,-0.12029
PAXILLIN,PRAS40PT246,-0.02874
PAXILLIN,S6,0.11056
PAXILLIN,SMAD3,-0.16094
PAXILLIN,TUBERIN,-0.18964
PAXILLIN,YAPPS127,-0.11582
PAXILLIN,YB1,-0.20803
PCNA,RAD50,-0.10626
PCNA,RAD51,-0.14388
PCNA,SMAD3,-0.09692
PCNA,SRCPY416,0.15912
PCNA,STATHMIN,-0.13147
PDK1PS241,PEA15,-0.17571
PDK1PS241,TUBERIN,-0.15504
PI3KP110ALPHA,SMAD4,-0.08852
PI3KP110ALPHA,SRC,-0.17878
PI3KP110ALPHA,MTORPS2448,-0.12412
PKCALPHA,PKCALPHAPS657,-0.52323
PKCALPHA,PKCDELTAPS664,-0.09711
PKCALPHA,YAP,-0.11472
PKCALPHA,EGFR,-0.14994
PKCALPHAPS657,PKCDELTAPS664,-0.10938
PKCALPHAPS657,RAD51,0.02378
PKCALPHAPS657,SMAD4,-0.10443
PKCDELTAPS664,RAD51,-0.0588
PKCDELTAPS664,YAP,0.08159
PKCDELTAPS664,MTORPS2448,-0.12338
PR,ASNS,0.14879
PRAS40PT246,MTORPS2448,-0.08937
PTEN,SYK,-0.09799
RAD50,SMAD1,-0.06355
RAD50,SYK,0.1977
RAD51,SMAD4,-0.12261
RBPS807S811,SRCPY527,-0.13999
S6,S6PS235S236,-0.20625
S6,SMAD1,-0.13476
S6,SRC,-0.08479
S6,VEGFR2,-0.0992
S6,MTORPS2448,0.02466
S6,ASNS,-0.12243
S6PS235S236,S6PS240S244,-0.75974
SMAD1,STATHMIN,-0.14947
SRC,SRCPY527,-0.19866
SRC,YB1PS102,0.08441
SRCPY416,SRCPY527,-0.07583
SRCPY416,STAT3PY705,-0.15204
SRCPY416,SYK,-0.11926
SRCPY416,EGFR,0.16179
SRCPY527,YB1,0.14364
SRCPY527,MTORPS2448,-0.16194
STAT5ALPHA,SYK,-0.14184
STAT5ALPHA,TUBERIN,-0.24212
TUBERIN,ASNS,0.07405
VEGFR2,YAPPS127,-0.00036
VEGFR2,YB1,-0.07303
XRCC1,YAPPS127,0.12953
XRCC1,YB1PS102,0.0464
YAP,YAPPS127,-0.40872
YAPPS127,ASNS,0.10111
